(206, ('79.3125', '26.2', '92056.2'))
(207, ('69.1875', '34.6', '103794'))
(208, ('61.875', '39.2', '109338'))
(209, ('65.25', '34.4', '101425'))
(210, ('71.4375', '30.6', '96918.8'))
(211, ('64.6875', '68.2', '168744'))
(212, ('inf', 'inf', 'inf'))
(213, ('inf', 'inf', 'inf'))
(214, ('66.375', '34.4', '101988'))
(215, ('59.625', '52', '133812'))
(216, ('68.0625', '31.8', '97631.2'))
(217, ('63', '41.6', '114700'))
(218, ('65.8125', '35', '102906'))
(219, ('63.5625', '54.2', '140181'))
(220, ('66.9375', '32', '97468.8'))
(221, ('62.4375', '48.8', '128819'))
(222, ('inf', 'inf', 'inf'))
(223, ('64.6875', '42', '116344'))
(224, ('inf', 'inf', 'inf'))
(225, ('62.4375', '52.8', '136819'))
(226, ('77.0625', '29.6', '97731.2'))
(227, ('82.125', '25.2', '91462.5'))
(228, ('64.125', '50.4', '132862'))
(229, ('78.75', '27.4', '94175'))
(230, ('65.25', '35.2', '103025'))
(231, ('82.125', '28', '97062.5'))
(232, ('69.75', '47', '128875'))
(233, ('inf', 'inf', 'inf'))
(234, ('66.9375', '34.6', '102669'))
(235, ('78.75', '29.6', '98575'))
(236, ('69.1875', '33.4', '101394'))
(237, ('64.125', '36.6', '105262'))
(238, ('66.375', '33.8', '100788'))
(239, ('65.25', '36.2', '105025'))
(240, ('60.1875', '42.8', '115694'))
(241, ('61.875', '42.6', '116138'))
(242, ('63.5625', '47.2', '126181'))
(243, ('61.875', '49', '128938'))
(244, ('74.8125', '27', '91406.2'))
(245, ('64.6875', '46.6', '125544'))
(246, ('73.6875', '27.8', '92443.8'))
(247, ('70.3125', '34', '103156'))
(248, ('inf', 'inf', 'inf'))
(249, ('66.9375', '33', '99468.8'))
(250, ('64.6875', '34.2', '100744'))
(251, ('inf', 'inf', 'inf'))
(252, ('63.5625', '39', '109781'))
(253, ('68.0625', '36', '106031'))
(254, ('66.9375', '37.2', '107869'))
(255, ('81', '26.4', '93300'))
(256, ('78.1875', '25.8', '90693.8'))
(257, ('69.1875', '34.4', '103394'))
(258, ('64.125', '44.8', '121663'))
(259, ('65.8125', '49.8', '132506'))
(260, ('63', '34.2', '99900'))
(261, ('63.5625', '38.4', '108581'))
(262, ('63.5625', '69', '169781'))
(263, ('67.5', '36.4', '106550'))
(264, ('65.25', '34.4', '101425'))
(265, ('70.875', '32.4', '100238'))
(266, ('61.3125', '41.2', '113056'))
(267, ('inf', 'inf', 'inf'))
(268, ('inf', 'inf', 'inf'))
(269, ('63.5625', '52.2', '136181'))
(270, ('63', '37.2', '105900'))
(271, ('72', '31.2', '98400'))
(272, ('60.1875', '53.8', '137694'))
(273, ('64.6875', '41.6', '115544'))
(274, ('65.25', '44.8', '122225'))
(275, ('68.0625', '34', '102031'))
(276, ('77.0625', '27', '92531.2'))
(277, ('65.25', '34.8', '102225'))
(278, ('65.8125', '33.6', '100106'))
(279, ('74.8125', '29.4', '96206.2'))
(280, ('inf', 'inf', 'inf'))
(281, ('69.1875', '33.4', '101394'))
(282, ('66.9375', '33.8', '101069'))
(283, ('64.125', '33.8', '99662.5'))
(284, ('79.875', '27.2', '94337.5'))
(285, ('77.625', '28.8', '96412.5'))
(286, ('64.6875', '36', '104344'))
(287, ('76.5', '31', '100250'))
(288, ('64.6875', '43', '118344'))
(289, ('73.125', '28', '92562.5'))
(290, ('69.1875', '33.2', '100994'))
(291, ('60.75', '34.8', '99975'))
(292, ('75.9375', '29', '95968.8'))
(293, ('66.375', '32.4', '97987.5'))
(294, ('71.4375', '28', '91718.8'))
(295, ('65.8125', '36.2', '105306'))
(296, ('63', '65.2', '161900'))
(297, ('63.5625', '65.4', '162581'))
(298, ('65.25', '38.8', '110225'))
(299, ('64.6875', '39.8', '111944'))
(300, ('63.5625', '37.2', '106181'))
(301, ('60.1875', '45', '120094'))
(302, ('66.9375', '34.2', '101869'))
(303, ('82.125', '26', '93062.5'))
(304, ('65.25', '65.8', '164225'))
(305, ('64.6875', '38.4', '109144'))
(306, ('71.4375', '33', '101719'))
(307, ('64.6875', '46.6', '125544'))
(308, ('62.4375', '37', '105219'))
(309, ('60.1875', '65.4', '160894'))
(310, ('78.1875', '28.2', '95493.8'))
(311, ('65.8125', '47.6', '128106'))
(312, ('inf', 'inf', 'inf'))
(313, ('72.5625', '30', '96281.2'))
(314, ('81.5625', '26.2', '93181.2'))
(315, ('inf', 'inf', 'inf'))
(316, ('77.0625', '28.8', '96131.2'))
(317, ('74.8125', '31.6', '100606'))
(318, ('61.3125', '39', '108656'))
(319, ('78.1875', '26.6', '92293.8'))
(320, ('65.8125', '39.4', '111706'))
(321, ('63', '39.6', '110700'))
(322, ('63.5625', '38', '107781'))
(323, ('67.5', '33.8', '101350'))
(324, ('68.625', '33.4', '101112'))
(325, ('75.375', '30.6', '98887.5'))
(326, ('69.75', '30.2', '95275'))
(327, ('61.875', '67', '164938'))
(328, ('66.9375', '32.6', '98668.8'))
(329, ('78.1875', '29.4', '97893.8'))
(330, ('78.75', '26.2', '91775'))
(331, ('63.5625', '64.6', '160981'))
(332, ('72.5625', '30.6', '97481.2'))
(333, ('70.875', '29.2', '93837.5'))
(334, ('65.25', '48.2', '129025'))
(335, ('inf', 'inf', 'inf'))
(336, ('77.625', '29', '96812.5'))
(337, ('66.375', '65', '163188'))
(338, ('81', '25.2', '90900'))
(339, ('66.375', '34.4', '101988'))
(340, ('79.3125', '29.4', '98456.2'))
(341, ('61.3125', '38.2', '107056'))
(342, ('75.9375', '29.4', '96768.8'))
(343, ('60.75', '34.8', '99975'))
(344, ('65.25', '64.2', '161025'))
(345, ('61.875', '40', '110938'))
(346, ('63.5625', '35.6', '102981'))
(347, ('76.5', '30.4', '99050'))
(348, ('82.6875', '26', '93343.8'))
(349, ('68.0625', '33.8', '101631'))
(350, ('64.125', '43', '118063'))
(351, ('64.6875', '46.6', '125544'))
(352, ('63', '42.2', '115900'))
(353, ('74.25', '29.4', '95925'))
(354, ('69.1875', '34', '102594'))
(355, ('63.5625', '46.4', '124581'))
(356, ('74.8125', '28.2', '93806.2'))
(357, ('63', '65', '161500'))
(358, ('62.4375', '56.6', '144419'))
(359, ('62.4375', '36.2', '103619'))
(360, ('64.6875', '39.2', '110744'))
(361, ('68.0625', '34.6', '103231'))
(362, ('65.8125', '35', '102906'))
(363, ('66.9375', '35', '103469'))
(364, ('64.125', '32.6', '97262.5'))
(365, ('72', '29.6', '95200'))
(366, ('69.1875', '33.4', '101394'))
(367, ('83.25', '26.4', '94425'))
(368, ('63', '39.8', '111100'))
(369, ('64.6875', '34.4', '101144'))
(370, ('65.8125', '48.4', '129706'))
(371, ('81.5625', '24.8', '90381.2'))
(372, ('75.9375', '27.4', '92768.8'))
(373, ('66.375', '37.8', '108788'))
(374, ('77.0625', '27', '92531.2'))
(375, ('65.8125', '68.4', '169706'))
(376, ('63.5625', '48.6', '128981'))
(377, ('60.75', '40.4', '111175'))
(378, ('79.875', '25.2', '90337.5'))
(379, ('65.8125', '46.2', '125306'))
(380, ('64.6875', '54.2', '140744'))
(381, ('62.4375', '33.4', '98018.8'))
(382, ('64.125', '37.2', '106462'))
(383, ('66.9375', '35.8', '105069'))
(384, ('75.9375', '30.8', '99568.8'))
(385, ('64.6875', '50.2', '132744'))
(386, ('78.1875', '27.8', '94693.8'))
(387, ('72', '30.2', '96400'))
(388, ('75.375', '29.4', '96487.5'))
(389, ('inf', 'inf', 'inf'))
(390, ('inf', 'inf', 'inf'))
(391, ('78.75', '27.2', '93775'))
(392, ('64.6875', '34.2', '100744'))
(393, ('66.9375', '35', '103469'))
(394, ('66.375', '29.8', '92787.5'))
(395, ('inf', 'inf', 'inf'))
(396, ('77.625', '29.2', '97212.5'))
(397, ('72', '32.2', '100400'))
(398, ('64.6875', '43.6', '119544'))
(399, ('inf', 'inf', 'inf'))
(400, ('inf', 'inf', 'inf'))
(401, ('74.25', '26', '89125'))
(402, ('66.375', '55.6', '144388'))
(403, ('71.4375', '32', '99718.8'))
